evaluations raw_y
1 -1889.0000000000
3 -1888.0000000000
9 -1886.0000000000
12 -1885.0000000000
14 -1884.0000000000
16 -1883.0000000000
17 -1882.0000000000
18 -1880.0000000000
19 -1879.0000000000
23 -1877.0000000000
25 -1875.0000000000
28 -1874.0000000000
29 -1873.0000000000
32 -1872.0000000000
33 -1871.0000000000
41 -1870.0000000000
44 -1869.0000000000
45 -1868.0000000000
46 -1867.0000000000
48 -1866.0000000000
50 -1865.0000000000
51 -1864.0000000000
53 -1863.0000000000
55 -1862.0000000000
57 -1859.0000000000
62 -1858.0000000000
64 -1857.0000000000
66 -1856.0000000000
67 -1855.0000000000
83 -1853.0000000000
84 -1852.0000000000
86 -1850.0000000000
87 -1849.0000000000
88 -1847.0000000000
91 -1846.0000000000
92 -1845.0000000000
96 -1844.0000000000
97 -1843.0000000000
104 -1842.0000000000
107 -1841.0000000000
116 -1840.0000000000
117 -1839.0000000000
119 -1838.0000000000
121 -1837.0000000000
123 -1836.0000000000
124 -1835.0000000000
126 -1834.0000000000
127 -1832.0000000000
128 -1831.0000000000
132 -1829.0000000000
135 -1828.0000000000
138 -1827.0000000000
139 -1826.0000000000
140 -1825.0000000000
145 -1824.0000000000
147 -1823.0000000000
149 -1822.0000000000
150 -1821.0000000000
156 -1820.0000000000
159 -1819.0000000000
161 -1818.0000000000
162 -1817.0000000000
168 -1816.0000000000
170 -1815.0000000000
174 -1814.0000000000
175 -1812.0000000000
178 -1811.0000000000
179 -1810.0000000000
181 -1809.0000000000
183 -1808.0000000000
184 -1807.0000000000
187 -1806.0000000000
188 -1805.0000000000
189 -1804.0000000000
192 -1803.0000000000
201 -1802.0000000000
204 -1801.0000000000
205 -1800.0000000000
206 -1799.0000000000
207 -1798.0000000000
208 -1797.0000000000
210 -1796.0000000000
211 -1795.0000000000
214 -1794.0000000000
216 -1793.0000000000
219 -1791.0000000000
221 -1790.0000000000
222 -1789.0000000000
223 -1788.0000000000
224 -1787.0000000000
226 -1786.0000000000
227 -1785.0000000000
228 -1784.0000000000
229 -1781.0000000000
231 -1780.0000000000
246 -1779.0000000000
251 -1778.0000000000
253 -1777.0000000000
255 -1775.0000000000
258 -1774.0000000000
259 -1772.0000000000
260 -1771.0000000000
261 -1770.0000000000
265 -1768.0000000000
268 -1767.0000000000
269 -1766.0000000000
270 -1764.0000000000
273 -1763.0000000000
274 -1762.0000000000
277 -1761.0000000000
279 -1760.0000000000
281 -1759.0000000000
282 -1758.0000000000
285 -1757.0000000000
286 -1756.0000000000
290 -1755.0000000000
291 -1754.0000000000
294 -1753.0000000000
295 -1752.0000000000
296 -1751.0000000000
300 -1750.0000000000
302 -1749.0000000000
305 -1746.0000000000
310 -1745.0000000000
312 -1744.0000000000
315 -1743.0000000000
317 -1741.0000000000
318 -1739.0000000000
329 -1738.0000000000
332 -1737.0000000000
333 -1736.0000000000
334 -1735.0000000000
339 -1734.0000000000
340 -1733.0000000000
342 -1732.0000000000
345 -1730.0000000000
349 -1729.0000000000
350 -1727.0000000000
351 -1725.0000000000
353 -1724.0000000000
354 -1723.0000000000
355 -1721.0000000000
356 -1720.0000000000
359 -1719.0000000000
361 -1718.0000000000
366 -1717.0000000000
369 -1716.0000000000
370 -1715.0000000000
375 -1714.0000000000
377 -1712.0000000000
379 -1710.0000000000
386 -1709.0000000000
391 -1708.0000000000
393 -1707.0000000000
394 -1706.0000000000
397 -1705.0000000000
399 -1703.0000000000
403 -1702.0000000000
405 -1701.0000000000
408 -1700.0000000000
412 -1699.0000000000
416 -1698.0000000000
418 -1697.0000000000
419 -1696.0000000000
420 -1695.0000000000
421 -1694.0000000000
424 -1693.0000000000
425 -1692.0000000000
426 -1690.0000000000
427 -1689.0000000000
433 -1687.0000000000
436 -1686.0000000000
