evaluations raw_y
1 -307664.1000000000
3 -306522.1000000000
4 -302316.1000000000
5 -299505.1000000000
7 -298505.1000000000
8 -298030.1000000000
9 -295797.1000000000
10 -292859.1000000000
12 -292329.1000000000
13 -290309.1000000000
14 -289905.1000000000
15 -289151.1000000000
17 -287285.1000000000
18 -284126.1000000000
19 -281716.1000000000
22 -279596.1000000000
23 -278608.1000000000
26 -277874.1000000000
27 -275422.1000000000
28 -274389.1000000000
29 -273739.1000000000
30 -272789.1000000000
32 -271455.1000000000
33 -268699.1000000000
37 -265644.1000000000
43 -265234.1000000000
44 -265183.1000000000
45 -261183.1000000000
46 -259737.1000000000
47 -257975.1000000000
51 -257619.1000000000
52 -254327.1000000000
55 -254134.1000000000
56 -254034.1000000000
60 -253846.1000000000
61 -251010.1000000000
62 -250677.1000000000
65 -248349.1000000000
69 -245907.1000000000
70 -245007.1000000000
72 -244544.1000000000
73 -240696.1000000000
75 -239318.1000000000
76 -238584.1000000000
77 -238162.1000000000
78 -237574.1000000000
79 -236116.1000000000
80 -235393.1000000000
82 -234803.1000000000
83 -234136.1000000000
84 -231259.1000000000
92 -230312.1000000000
94 -229717.1000000000
96 -226825.1000000000
98 -225098.1000000000
99 -224164.1000000000
108 -223341.1000000000
111 -221789.1000000000
112 -219459.1000000000
113 -218578.1000000000
117 -218188.1000000000
118 -217216.1000000000
119 -217043.1000000000
120 -216110.1000000000
121 -215173.1000000000
122 -214827.1000000000
125 -214748.1000000000
131 -214609.1000000000
140 -213683.1000000000
141 -211958.1000000000
147 -211592.1000000000
148 -210696.1000000000
149 -209038.1000000000
151 -208425.1000000000
152 -206894.1000000000
155 -205990.1000000000
158 -205222.1000000000
166 -204162.1000000000
172 -203549.1000000000
174 -203294.1000000000
179 -201420.1000000000
180 -200461.1000000000
182 -199739.1000000000
183 -199347.1000000000
185 -198879.1000000000
189 -196599.1000000000
190 -195618.1000000000
191 -195159.1000000000
193 -194215.1000000000
198 -194013.1000000000
200 -192889.1000000000
203 -190995.1000000000
205 -187107.1000000000
210 -186127.1000000000
217 -185244.1000000000
224 -185243.1000000000
228 -184540.1000000000
229 -183768.1000000000
233 -183180.1000000000
236 -181954.1000000000
255 -180695.1000000000
256 -180339.1000000000
271 -179745.1000000000
274 -178916.1000000000
277 -178444.1000000000
284 -178244.1000000000
289 -176726.1000000000
295 -173058.1000000000
310 -172372.1000000000
311 -171056.1000000000
315 -170344.1000000000
319 -170189.1000000000
321 -169366.1000000000
323 -168901.1000000000
326 -168659.1000000000
344 -166631.1000000000
353 -165135.1000000000
355 -163915.1000000000
356 -163161.1000000000
368 -162310.1000000000
369 -161943.1000000000
388 -161025.1000000000
392 25067.9437043981
395 25543.2675792570
402 25716.1073524201
404 25752.6790668811
438 25870.0936824356
455 26003.6463199483
462 26108.1916288578
512 26315.1551782122
596 26712.0270815591
609 26864.9574536724
612 26970.6312691465
639 27075.9415856847
655 27125.9202551135
658 27454.0979367217
659 27602.7769380249
667 28039.7280712230
825 28142.1215923314
1287 28542.7033111810
1462 28742.9933902732
1663 28756.7772727527
2231 28783.1531858133
2234 29530.0828607785
2321 29659.3516942296
2399 29770.1651339269
2401 29913.1341843903
2552 29929.4165405936
2618 29934.3055776047
2789 30066.3614850572
3068 30193.8490103827
3087 30291.1949876905
3222 30510.9337921574
3905 30557.6512949695
3916 30692.7324601087
4252 30780.9307684315
4648 30986.6806769696
4715 31000.2164814305
5524 31024.3582462438
5546 31214.0090474932
5600 31415.9905400696
5614 31551.9055920373
5757 31621.4400523391
6264 31642.2895544319
6480 31759.9236294153
7137 31800.9469629204
7167 31962.6506216022
7394 32147.5074350996
7823 32247.3603695994
8032 32249.0088871521
8720 32344.0318545913
8751 32368.1126139479
8780 32490.3815474853
9284 32587.2496783895
10000 -160615.1000000000
