evaluations raw_y
1 -221.0000000000
3 -208.0000000000
6 -203.0000000000
7 -199.0000000000
28 -174.0000000000
179 -170.0000000000
232 -169.0000000000
270 -168.0000000000
297 -165.0000000000
320 -163.0000000000
351 -162.0000000000
366 -161.0000000000
368 -159.0000000000
376 -158.0000000000
408 -155.0000000000
481 -152.0000000000
490 -149.0000000000
521 -142.0000000000
566 -140.0000000000
626 -138.0000000000
685 -135.0000000000
729 -134.0000000000
763 -131.0000000000
817 -130.0000000000
870 -128.0000000000
898 -126.0000000000
911 -120.0000000000
974 -118.0000000000
1047 -113.0000000000
1103 -108.0000000000
1156 -107.0000000000
1181 -105.0000000000
1244 -103.0000000000
1303 -102.0000000000
1305 -98.0000000000
1401 -93.0000000000
1455 -92.0000000000
1467 -91.0000000000
1488 -87.0000000000
1629 -86.0000000000
1674 -85.0000000000
1685 -82.0000000000
1691 -80.0000000000
1793 -77.0000000000
1826 -75.0000000000
1973 -73.0000000000
2025 -71.0000000000
2137 -69.0000000000
2162 -68.0000000000
2203 -64.0000000000
2312 -62.0000000000
2430 -61.0000000000
2475 -56.0000000000
2512 -55.0000000000
2607 -54.0000000000
2641 -52.0000000000
2672 -51.0000000000
2764 -50.0000000000
2802 -47.0000000000
2889 -46.0000000000
3005 -45.0000000000
3025 -42.0000000000
3064 -41.0000000000
3179 -36.0000000000
3358 -35.0000000000
3489 -32.0000000000
3601 -31.0000000000
3727 -30.0000000000
3789 -29.0000000000
3805 -28.0000000000
3853 -27.0000000000
3920 -25.0000000000
3964 -23.0000000000
4102 -22.0000000000
4152 -20.0000000000
4410 -19.0000000000
4613 -18.0000000000
4734 -16.0000000000
4788 -15.0000000000
4877 -14.0000000000
4955 -11.0000000000
5058 -10.0000000000
5163 -9.0000000000
5218 -8.0000000000
5307 -6.0000000000
5425 -5.0000000000
5612 -4.0000000000
5821 -3.0000000000
5847 365.0000000000
5899 373.0000000000
5940 376.0000000000
6129 380.0000000000
6230 392.0000000000
6342 402.0000000000
6861 404.0000000000
7093 409.0000000000
8680 414.0000000000
9641 419.0000000000
10000 -2.0000000000
