evaluations raw_y
1 -2070.0000000000
2 -1955.0000000000
58 -1944.0000000000
66 -1924.0000000000
140 -1915.0000000000
156 -1912.0000000000
163 -1905.0000000000
182 -1889.0000000000
220 -1876.0000000000
299 -1858.0000000000
301 -1829.0000000000
412 -1806.0000000000
521 -1803.0000000000
534 -1778.0000000000
603 -1776.0000000000
605 -1772.0000000000
664 -1763.0000000000
707 -1754.0000000000
760 -1742.0000000000
798 -1726.0000000000
876 -1720.0000000000
877 -1702.0000000000
965 -1698.0000000000
992 -1682.0000000000
1053 -1679.0000000000
1059 -1673.0000000000
1111 -1661.0000000000
1115 -1655.0000000000
1123 -1647.0000000000
1238 -1639.0000000000
1257 -1637.0000000000
1292 -1627.0000000000
1305 -1626.0000000000
1320 -1625.0000000000
1333 -1615.0000000000
1358 -1613.0000000000
1390 -1612.0000000000
1402 -1610.0000000000
1412 -1604.0000000000
1463 -1599.0000000000
1525 -1592.0000000000
1569 -1591.0000000000
1602 -1589.0000000000
1604 -1578.0000000000
1656 -1575.0000000000
1676 -1565.0000000000
1720 -1564.0000000000
1752 -1556.0000000000
1809 -1553.0000000000
1862 -1551.0000000000
1909 -1549.0000000000
1969 -1548.0000000000
1998 -1534.0000000000
2019 -1533.0000000000
2100 -1530.0000000000
2113 -1526.0000000000
2144 -1521.0000000000
2183 -1517.0000000000
2200 -1514.0000000000
2207 -1513.0000000000
2251 -1509.0000000000
2348 -1491.0000000000
2437 -1482.0000000000
2473 -1480.0000000000
2561 -1476.0000000000
2607 -1471.0000000000
2676 -1467.0000000000
2706 -1464.0000000000
2754 -1463.0000000000
2776 -1461.0000000000
2788 -1459.0000000000
2818 -1456.0000000000
2851 -1455.0000000000
2877 -1454.0000000000
2906 -1453.0000000000
2910 -1452.0000000000
2953 -1450.0000000000
2960 -1448.0000000000
2975 -1445.0000000000
2986 -1441.0000000000
3010 -1435.0000000000
3023 -1434.0000000000
3071 -1433.0000000000
3103 -1427.0000000000
3220 -1426.0000000000
3227 -1424.0000000000
3337 -1423.0000000000
3340 -1422.0000000000
3341 -1415.0000000000
3407 -1409.0000000000
3509 -1408.0000000000
3518 -1407.0000000000
3562 -1404.0000000000
3566 -1403.0000000000
3606 -1399.0000000000
3627 -1393.0000000000
3823 -1392.0000000000
3835 -1388.0000000000
3905 -1387.0000000000
3945 -1386.0000000000
3953 -1384.0000000000
3971 -1382.0000000000
3973 -1380.0000000000
4023 -1378.0000000000
4054 -1376.0000000000
4102 -1370.0000000000
4221 -1368.0000000000
4251 -1366.0000000000
4280 -1365.0000000000
4318 -1362.0000000000
4432 -1361.0000000000
4508 -1358.0000000000
4607 -1355.0000000000
4673 -1354.0000000000
4686 -1353.0000000000
4708 -1350.0000000000
4729 -1349.0000000000
4770 -1346.0000000000
4882 -1345.0000000000
4922 -1344.0000000000
4956 -1342.0000000000
5027 -1340.0000000000
5057 -1338.0000000000
5088 -1335.0000000000
5091 -1333.0000000000
5236 -1332.0000000000
5252 -1329.0000000000
5259 -1326.0000000000
5373 -1325.0000000000
5412 -1324.0000000000
5464 -1322.0000000000
5517 -1321.0000000000
5559 -1319.0000000000
5563 -1317.0000000000
5567 -1315.0000000000
5577 -1314.0000000000
5619 -1313.0000000000
5688 -1312.0000000000
5737 -1309.0000000000
5768 -1308.0000000000
5774 -1306.0000000000
5804 -1304.0000000000
5813 -1303.0000000000
5877 -1302.0000000000
5901 -1301.0000000000
5971 -1299.0000000000
6002 -1295.0000000000
6086 -1293.0000000000
6172 -1292.0000000000
6240 -1290.0000000000
6287 -1288.0000000000
6409 -1287.0000000000
6439 -1285.0000000000
6507 -1284.0000000000
6560 -1283.0000000000
6629 -1282.0000000000
6673 -1281.0000000000
6683 -1278.0000000000
6770 -1276.0000000000
6822 -1275.0000000000
6858 -1272.0000000000
6882 -1271.0000000000
6956 -1270.0000000000
6986 -1269.0000000000
7009 -1268.0000000000
7079 -1266.0000000000
7091 -1265.0000000000
7107 -1264.0000000000
7124 -1263.0000000000
7152 -1261.0000000000
7207 -1257.0000000000
7318 -1256.0000000000
7364 -1255.0000000000
7366 -1252.0000000000
7412 -1251.0000000000
7456 -1248.0000000000
7502 -1247.0000000000
7511 -1244.0000000000
7614 -1241.0000000000
7638 -1240.0000000000
7705 -1237.0000000000
7814 -1232.0000000000
7860 -1230.0000000000
7947 -1227.0000000000
8007 -1226.0000000000
8030 -1224.0000000000
8063 -1222.0000000000
8104 -1220.0000000000
8145 -1216.0000000000
8221 -1215.0000000000
8311 -1210.0000000000
8449 -1208.0000000000
8463 -1207.0000000000
8548 -1205.0000000000
8568 -1204.0000000000
8632 -1203.0000000000
8655 -1202.0000000000
8734 -1201.0000000000
8763 -1200.0000000000
8806 -1199.0000000000
8835 -1197.0000000000
8871 -1195.0000000000
8916 -1193.0000000000
9005 -1192.0000000000
9020 -1190.0000000000
9122 -1189.0000000000
9144 -1186.0000000000
9316 -1185.0000000000
9324 -1181.0000000000
9355 -1177.0000000000
9474 -1176.0000000000
9539 -1175.0000000000
9592 -1174.0000000000
9637 -1171.0000000000
9654 -1170.0000000000
9717 -1169.0000000000
9751 -1168.0000000000
9797 -1166.0000000000
9869 -1165.0000000000
9896 -1164.0000000000
9909 -1163.0000000000
9955 -1161.0000000000
9963 -1158.0000000000
10000 -1162.0000000000
