evaluations raw_y
1 -1946.0000000000
38 -1901.0000000000
174 -1864.0000000000
260 -1858.0000000000
304 -1853.0000000000
321 -1848.0000000000
358 -1845.0000000000
399 -1841.0000000000
407 -1832.0000000000
410 -1828.0000000000
462 -1819.0000000000
505 -1809.0000000000
515 -1801.0000000000
568 -1779.0000000000
604 -1774.0000000000
701 -1770.0000000000
709 -1760.0000000000
731 -1741.0000000000
833 -1735.0000000000
878 -1733.0000000000
884 -1721.0000000000
893 -1711.0000000000
914 -1699.0000000000
965 -1694.0000000000
1023 -1692.0000000000
1041 -1686.0000000000
1051 -1677.0000000000
1070 -1674.0000000000
1165 -1672.0000000000
1214 -1652.0000000000
1271 -1646.0000000000
1311 -1613.0000000000
1359 -1612.0000000000
1407 -1611.0000000000
1412 -1609.0000000000
1451 -1603.0000000000
1467 -1601.0000000000
1472 -1593.0000000000
1547 -1586.0000000000
1555 -1585.0000000000
1582 -1580.0000000000
1605 -1577.0000000000
1615 -1569.0000000000
1683 -1557.0000000000
1712 -1550.0000000000
1754 -1543.0000000000
1811 -1532.0000000000
1894 -1529.0000000000
1906 -1524.0000000000
1980 -1511.0000000000
2072 -1505.0000000000
2155 -1501.0000000000
2174 -1497.0000000000
2218 -1491.0000000000
2295 -1484.0000000000
2351 -1475.0000000000
2355 -1470.0000000000
2434 -1469.0000000000
2447 -1467.0000000000
2514 -1461.0000000000
2549 -1459.0000000000
2563 -1456.0000000000
2603 -1453.0000000000
2701 -1449.0000000000
2725 -1445.0000000000
2741 -1443.0000000000
2810 -1438.0000000000
2834 -1437.0000000000
2875 -1435.0000000000
2893 -1431.0000000000
2907 -1428.0000000000
2933 -1421.0000000000
2986 -1420.0000000000
3035 -1418.0000000000
3060 -1417.0000000000
3072 -1414.0000000000
3087 -1413.0000000000
3109 -1412.0000000000
3122 -1409.0000000000
3158 -1395.0000000000
3315 -1394.0000000000
3324 -1392.0000000000
3348 -1391.0000000000
3367 -1390.0000000000
3387 -1389.0000000000
3405 -1385.0000000000
3454 -1375.0000000000
3570 -1373.0000000000
3601 -1370.0000000000
3607 -1369.0000000000
3653 -1362.0000000000
3705 -1361.0000000000
3755 -1360.0000000000
3805 -1358.0000000000
3822 -1357.0000000000
3895 -1355.0000000000
3928 -1346.0000000000
4005 -1345.0000000000
4132 -1344.0000000000
4162 -1341.0000000000
4205 -1340.0000000000
4211 -1338.0000000000
4301 -1334.0000000000
4305 -1333.0000000000
4336 -1332.0000000000
4400 -1327.0000000000
4430 -1321.0000000000
4521 -1317.0000000000
4661 -1316.0000000000
4704 -1314.0000000000
4747 -1312.0000000000
4789 -1311.0000000000
4815 -1310.0000000000
4832 -1309.0000000000
4838 -1306.0000000000
4883 -1304.0000000000
4911 -1303.0000000000
4936 -1301.0000000000
4966 -1296.0000000000
5062 -1292.0000000000
5176 -1291.0000000000
5204 -1288.0000000000
5232 -1287.0000000000
5285 -1285.0000000000
5405 -1283.0000000000
5467 -1281.0000000000
5503 -1278.0000000000
5551 -1277.0000000000
5642 -1276.0000000000
5671 -1272.0000000000
5769 -1270.0000000000
5799 -1269.0000000000
5866 -1267.0000000000
5938 -1266.0000000000
5952 -1262.0000000000
6007 -1259.0000000000
6066 -1258.0000000000
6070 -1257.0000000000
6111 -1252.0000000000
6254 -1250.0000000000
6282 -1249.0000000000
6372 -1248.0000000000
6373 -1245.0000000000
6410 -1244.0000000000
6452 -1243.0000000000
6484 -1242.0000000000
6510 -1240.0000000000
6583 -1238.0000000000
6618 -1235.0000000000
6753 -1231.0000000000
6833 -1230.0000000000
6835 -1229.0000000000
6854 -1227.0000000000
6889 -1226.0000000000
6955 -1224.0000000000
6994 -1223.0000000000
7093 -1222.0000000000
7105 -1220.0000000000
7111 -1218.0000000000
7118 -1216.0000000000
7235 -1215.0000000000
7266 -1214.0000000000
7313 -1213.0000000000
7330 -1209.0000000000
7432 -1207.0000000000
7503 -1206.0000000000
7564 -1204.0000000000
7570 -1203.0000000000
7618 -1202.0000000000
7697 -1200.0000000000
7739 -1199.0000000000
7785 -1197.0000000000
7793 -1196.0000000000
7805 -1195.0000000000
7903 -1191.0000000000
7979 -1190.0000000000
8001 -1188.0000000000
8064 -1187.0000000000
8121 -1186.0000000000
8132 -1185.0000000000
8143 -1183.0000000000
8179 -1181.0000000000
8246 -1179.0000000000
8260 -1177.0000000000
8311 -1176.0000000000
8372 -1174.0000000000
8420 -1173.0000000000
8428 -1172.0000000000
8431 -1171.0000000000
8487 -1167.0000000000
8620 -1166.0000000000
8656 -1164.0000000000
8702 -1162.0000000000
8715 -1161.0000000000
8837 -1160.0000000000
8851 -1158.0000000000
8880 -1156.0000000000
8909 -1154.0000000000
8976 -1153.0000000000
8981 -1152.0000000000
9026 -1151.0000000000
9078 -1147.0000000000
9085 -1145.0000000000
9140 -1143.0000000000
9189 -1142.0000000000
9258 -1141.0000000000
9364 -1138.0000000000
9416 -1137.0000000000
9433 -1136.0000000000
9454 -1134.0000000000
9516 -1133.0000000000
9576 -1132.0000000000
9580 -1131.0000000000
9685 -1128.0000000000
9732 -1127.0000000000
9778 -1124.0000000000
9871 -1123.0000000000
9926 -1122.0000000000
9987 -1121.0000000000
10000 -1127.0000000000
