evaluations raw_y
1 675996.0179635502
2 711177.9648055637
4 716475.4629286104
46 724111.8889449458
47 732270.0965345843
108 733030.7698328277
126 752981.1258565489
265 758974.6113695746
298 768298.1398586110
336 769673.9479329018
352 772252.3831950710
353 774756.6641456569
364 776973.5113267658
368 780233.5903046554
421 780803.0497545546
452 791772.6828749429
458 802216.7052532227
516 802494.7465984073
547 803927.8448343576
558 806208.9569485330
588 818227.1294098124
651 818917.3083349052
752 823125.4546041188
769 825113.5061070396
793 826157.8162873030
813 830439.5744058859
862 830697.9777830752
905 832459.7191954167
910 834475.7841459555
925 835791.8150326505
945 837139.0565386002
954 846641.1980599674
1055 848276.8408157107
1082 848936.4220244847
1116 851712.6692287133
1174 852270.7582267332
1175 862407.1365548495
1252 864456.2401673698
1278 864560.1532364675
1308 866307.5833211561
1336 870585.2339657695
1367 875572.4204108292
1452 879873.6357996961
1501 880842.8780175209
1512 881287.7898842421
1517 882628.8243300344
1536 882754.7179469167
1577 883332.3492825693
1588 885714.2900590270
1618 888479.0461384018
1652 888483.0714832792
1660 890057.3998808985
1685 891367.0340506894
1719 893316.6906387237
1731 897939.2390682813
1768 902183.8889298696
1837 904934.9982548585
1883 907907.1566893271
1933 910068.0099859759
1989 915108.4072596357
2016 915306.3139062307
2056 917578.0450897962
2117 919027.2994793096
2156 919811.5845675567
2181 921321.2531148585
2207 924925.4620377966
2214 926171.6849907184
2273 926859.8466436281
2357 929615.3405002326
2404 931036.4633960775
2406 931160.4995528928
2418 933555.2636032372
2451 934111.7370445415
2454 935444.3709594291
2511 940124.8561110580
2633 940154.5016046040
2664 941000.2271006830
2667 941763.5768316970
2671 944671.1710327362
2704 944938.0120447328
2766 945248.0536383144
2780 951680.8051149589
2986 953018.7794006084
3008 955646.3594005960
3056 960872.8942365908
3103 960954.1310817418
3152 962019.3725390099
3269 962795.0863305517
3304 964510.0297585803
3327 964987.4654685196
3361 965397.0805346589
3423 967403.2213226332
3473 967502.6442896657
3509 967928.5235944958
3511 971297.2581888175
3604 973554.9755489493
3710 974337.8532592694
3767 974452.2394670321
3779 976422.1108583745
3832 976802.4367753130
3839 979458.8470714994
3945 980161.3431808235
3958 980521.0725422376
3973 982099.7838801375
4130 983271.9309456248
4167 983854.4965963023
4177 984328.7945834355
4213 984843.5054493898
4221 986519.8108257808
4278 986682.8037922452
4307 987457.4223475100
