evaluations raw_y
1 -2131858.0000000005
4 -2130856.0000000005
5 -2129855.0000000005
7 -2128846.0000000005
8 -2127846.0000000005
10 -2126839.0000000005
11 -2125836.0000000005
16 -2124831.0000000005
17 -2123823.0000000005
19 -2122822.0000000005
20 -2121822.0000000005
22 -2120817.0000000005
24 -2119810.0000000005
25 -2118804.0000000005
27 -2117803.0000000005
29 -2116798.0000000005
30 -2115791.0000000005
31 -2114787.0000000005
33 -2113781.0000000005
34 -2112780.0000000005
41 -2111780.0000000005
43 -2110778.0000000005
44 -2109777.0000000005
46 -2108768.0000000005
47 -2107766.0000000005
48 -2106760.0000000005
49 -2105759.0000000005
50 -2104758.0000000005
51 -2103749.0000000005
55 -2102747.0000000005
59 -2101738.0000000005
61 -2100730.0000000005
63 -2099725.0000000005
65 -2098717.0000000005
66 -2097714.0000000005
67 -2096712.0000000005
68 -2095710.0000000005
71 -2094708.0000000005
72 -2093706.0000000005
73 -2092706.0000000005
74 -2091706.0000000005
75 -2090703.0000000005
76 -2089697.0000000005
77 -2088691.0000000005
82 -2087687.0000000005
84 -2086681.0000000005
85 -2085674.0000000005
87 -2084666.0000000005
91 -2083666.0000000005
101 -2082664.0000000005
102 -2081663.0000000005
103 -2080655.0000000005
104 -2079654.0000000005
108 -2078647.0000000005
110 -2077647.0000000005
111 -2076641.0000000005
115 -2075636.0000000005
116 -2074631.0000000005
123 -2073626.0000000005
126 307707.5772953832
175 307723.9452915230
176 308219.9351503824
181 308226.0027427614
183 308965.9840311410
288 308991.2952606985
289 309828.2720185062
318 309830.2528283703
319 310154.4580329134
390 310160.3911350780
391 310601.5876241239
476 310629.7889277385
479 310901.6612149689
522 310924.7249466341
524 311075.7023884187
831 311115.6844550238
832 311927.1082597720
994 311946.6584552215
996 312892.1804484425
1101 312934.7571822238
1103 313580.4986021968
1223 313585.6047156910
1226 313871.6833885767
1480 313886.3115961141
1484 314611.6378426005
1780 314631.0958974324
1781 315365.5746661765
2029 315380.6840638412
2031 316315.7368930709
2269 316317.3354300954
2270 316698.1512776664
2327 316717.0779539131
2328 317591.5904327862
2749 317631.1701998470
2751 317967.8469517758
5035 317980.1957663339
5036 318218.1485372331
10000 317441.9526749933
