evaluations raw_y
1 -2851.0000000000
4 -2005.8407150542
5 -1980.8989816370
6 -1941.8325329727
8 481.7176936598
9 2027.4544402324
12 2745.5821837187
13 2883.5870580622
14 4588.9650607566
17 4810.2018357874
20 5209.7111178956
23 5594.7022168357
26 6248.8982826077
31 7113.8786479442
37 7865.6040906472
40 8408.7643822164
41 9014.1772358125
44 9033.4524363912
56 10288.3744166475
74 10641.4680107585
77 10932.4444725171
86 11299.5464469548
87 12065.1179596240
118 12648.4298992076
123 12681.8291044777
129 13103.7015843304
137 13791.9305073813
149 14059.5725647567
160 14151.6082837741
172 14286.7813044287
173 14816.8623067206
177 14901.3715316651
188 15444.2640508094
195 15685.5348628555
200 14813.8333241590
