evaluations raw_y
1 0.0000000000
4 152.0000000000
5 212.0000000000
6 249.0000000000
7 273.0000000000
9 292.0000000000
11 329.0000000000
16 364.0000000000
17 370.0000000000
20 384.0000000000
25 393.0000000000
42 397.0000000000
65 399.0000000000
88 408.0000000000
129 416.0000000000
231 419.0000000000
436 421.0000000000
451 422.0000000000
487 423.0000000000
517 427.0000000000
699 429.0000000000
753 430.0000000000
1023 431.0000000000
1125 432.0000000000
1381 434.0000000000
4037 435.0000000000
5424 437.0000000000
7995 439.0000000000
9631 440.0000000000
10000 437.0000000000
