evaluations raw_y
1 0.0000000000
3 5.6400000000
5 5.8600000000
6 16.9700000000
10 24.5400000000
12 25.6800000000
15 38.9800000000
29 45.0900000000
33 56.5800000000
41 60.7000000000
42 85.6200000000
46 96.6700000000
55 105.1800000000
56 107.4100000000
63 120.7200000000
68 131.9700000000
107 141.7100000000
173 150.0000000000
175 159.7000000000
306 177.5900000000
357 178.6100000000
428 188.7700000000
515 194.9200000000
516 197.9300000000
620 199.3100000000
626 215.6900000000
641 216.2400000000
655 224.4700000000
665 243.2900000000
671 253.0200000000
672 254.9500000000
690 265.8900000000
738 268.4900000000
816 281.0100000000
1085 282.4500000000
1159 288.8600000000
1414 291.1900000000
1422 357.4200000000
1425 366.4600000000
1429 377.4000000000
1435 384.4300000000
1444 387.9300000000
1471 389.1500000000
1478 391.8700000000
1486 421.3200000000
1590 426.2000000000
1879 426.9400000000
2090 429.0600000000
2206 441.8300000000
2883 450.7500000000
3652 573.7900000000
4869 574.3200000000
4887 577.3900000000
5361 578.4100000000
5818 707.1100000000
10000 2.5200000000
