evaluations raw_y
1 -2851.0000000000
4 -636.0919994629
6 3188.7627990565
11 3982.6323487153
12 6624.6912173015
13 7449.3401310227
21 10291.2354635171
23 11502.3490678963
42 12064.4417027906
44 12179.2160664752
48 12271.4319160070
49 13649.6947388631
53 15302.1904506205
66 15848.6730857441
67 16302.0458901160
71 16872.3218897939
72 17983.7545642449
92 18447.7731906959
95 18805.3263863552
98 18833.6347326345
101 21003.4425233643
107 21698.8798976448
111 21876.7106631713
141 22854.0012441721
195 23033.2817820144
202 24166.9401022810
303 24568.5806570612
515 24721.6320030010
1661 24814.4910282449
1940 24835.7230574431
3448 25036.4186329863
4755 25136.7642082746
5439 25138.1728083612
5698 25143.0209439010
6157 25245.7846297981
8248 25249.9041080242
10000 -161179.1000000000
