instance,alg,pop,selection,run,best,n_evals,time
2100,multi,10,uniform,0,,10000,1.2992162704467773
2100,multi,10,uniform,1,,10000,1.3238732814788818
2100,multi,10,uniform,2,,10000,1.2092812061309814
2100,multi,10,uniform,3,,10000,1.1482057571411133
2100,multi,10,uniform,4,,10000,1.1117191314697266
2100,multi,10,uniform,5,,10000,1.1867833137512207
2100,multi,10,uniform,6,-34.0,10000,1.1148872375488281
2100,multi,10,uniform,7,,10000,1.1180140972137451
2100,multi,10,uniform,8,,10000,1.0983436107635498
2100,multi,10,uniform,9,-23.0,10000,1.0991921424865723
2100,multi,10,uniform,10,-33.0,10000,1.1313722133636475
2100,multi,10,uniform,11,-25.0,10000,1.0916330814361572
2100,multi,10,uniform,12,,10000,1.0911147594451904
2100,multi,10,uniform,13,,10000,1.092756986618042
2100,multi,10,uniform,14,-31.0,10000,1.1087706089019775
2100,multi,10,uniform,15,,10000,1.0988242626190186
2100,multi,10,uniform,16,,10000,1.113245964050293
2100,multi,10,uniform,17,,10000,1.1551284790039062
2100,multi,10,uniform,18,,10000,1.1825871467590332
2100,multi,10,uniform,19,,10000,1.182553768157959
2100,multi,10,uniform,20,-34.0,10000,1.1566627025604248
2100,multi,10,uniform,21,-26.0,10000,1.122770071029663
2100,multi,10,uniform,22,,10000,1.1789891719818115
2100,multi,10,uniform,23,,10000,1.1864650249481201
2100,multi,10,uniform,24,-35.0,10000,1.1776461601257324
2100,multi,10,uniform,25,,10000,1.1613471508026123
2100,multi,10,uniform,26,,10000,1.2810311317443848
2100,multi,10,uniform,27,,10000,1.0984816551208496
2100,multi,10,uniform,28,,10000,1.1320927143096924
2100,multi,10,uniform,29,,10000,1.0985949039459229
2100,multi,10,uniform,0,,10000,1.20780348777771
2100,multi,10,uniform,1,,10000,1.1991283893585205
2100,multi,10,uniform,2,-26.0,10000,1.101931095123291
2100,multi,10,uniform,3,,10000,1.1500914096832275
2100,multi,10,uniform,4,,10000,1.1162149906158447
2100,multi,10,uniform,5,-31.0,10000,1.0880441665649414
2100,multi,10,uniform,6,-33.0,10000,1.3655028343200684
2100,multi,10,uniform,7,-31.0,10000,1.1006145477294922
2100,multi,10,uniform,8,-32.0,10000,1.098970651626587
2100,multi,10,uniform,9,,10000,1.1008565425872803
2100,multi,10,uniform,10,,10000,1.1235058307647705
2100,multi,10,uniform,11,,10000,1.0771675109863281
2100,multi,10,uniform,12,,10000,1.1066858768463135
2100,multi,10,uniform,13,,10000,1.1184115409851074
2100,multi,10,uniform,14,-35.0,10000,1.088548183441162
2100,multi,10,uniform,15,-34.0,10000,1.14064359664917
2100,multi,10,uniform,16,,10000,1.0954887866973877
2100,multi,10,uniform,17,,10000,1.114037036895752
2100,multi,10,uniform,18,,10000,1.0997874736785889
2100,multi,10,uniform,19,,10000,1.138545274734497
2100,multi,10,uniform,20,,10000,1.1490867137908936
2100,multi,10,uniform,21,,10000,1.184964656829834
2100,multi,10,uniform,22,,10000,1.1323654651641846
2100,multi,10,uniform,23,-31.0,10000,1.0853216648101807
2100,multi,10,uniform,24,,10000,1.092278242111206
2100,multi,10,uniform,25,,10000,1.0865979194641113
2100,multi,10,uniform,26,,10000,1.1561155319213867
2100,multi,10,uniform,27,,10000,1.0824203491210938
2100,multi,10,uniform,28,,10000,1.1368908882141113
2100,multi,10,uniform,29,,10000,1.143897294998169
2100,multi,10,uniform,0,,10000,0.5625083446502686
