instance,alg,pop,diversity,run,best,n_evals,time
2100,single,10,random_replacement,0,411.0,10000,0.7162015438079834
2100,single,10,random_replacement,1,414.0,10000,0.6120662689208984
2100,single,10,random_replacement,2,423.0,10000,0.878159761428833
2100,single,10,random_replacement,3,414.0,10000,0.8437848091125488
2100,single,10,random_replacement,4,413.0,10000,0.85910964012146
2100,single,10,random_replacement,5,417.0,10000,0.8250529766082764
2100,single,10,random_replacement,6,410.0,10000,0.759596586227417
2100,single,10,random_replacement,7,420.0,10000,0.7454593181610107
2100,single,10,random_replacement,8,409.0,10000,0.8028781414031982
2100,single,10,random_replacement,9,418.0,10000,0.7003965377807617
2100,single,10,random_replacement,10,415.0,10000,0.7506091594696045
2100,single,10,random_replacement,11,418.0,10000,0.7310397624969482
2100,single,10,random_replacement,12,423.0,10000,0.683222770690918
2100,single,10,random_replacement,13,426.0,10000,0.726046085357666
2100,single,10,random_replacement,14,419.0,10000,0.7476518154144287
2100,single,10,random_replacement,15,410.0,10000,0.705880880355835
2100,single,10,random_replacement,16,410.0,10000,0.7212038040161133
2100,single,10,random_replacement,17,417.0,10000,0.7915589809417725
2100,single,10,random_replacement,18,408.0,10000,0.7299580574035645
2100,single,10,random_replacement,19,423.0,10000,0.8020186424255371
2100,single,10,random_replacement,20,412.0,10000,0.6642632484436035
2100,single,10,random_replacement,21,417.0,10000,0.7760720252990723
2100,single,10,random_replacement,22,411.0,10000,0.8804233074188232
2100,single,10,random_replacement,23,408.0,10000,1.270350694656372
2100,single,10,random_replacement,24,419.0,10000,1.1127631664276123
2100,single,10,random_replacement,25,424.0,10000,0.9070382118225098
2100,single,10,random_replacement,26,420.0,10000,0.8484659194946289
2100,single,10,random_replacement,27,418.0,10000,1.0347340106964111
2100,single,10,random_replacement,28,408.0,10000,0.9245638847351074
2100,single,10,random_replacement,29,410.0,10000,1.0073745250701904
2100,single,10,fitness_sharing,0,414.0,10000,4.259243726730347
2100,single,10,fitness_sharing,1,417.0,10000,4.516413927078247
2100,single,10,fitness_sharing,2,419.0,10000,6.692042112350464
2100,single,10,fitness_sharing,3,422.0,10000,4.0847086906433105
2100,single,10,fitness_sharing,4,423.0,10000,4.401859998703003
2100,single,10,fitness_sharing,5,415.0,10000,4.304023027420044
2100,single,10,fitness_sharing,6,418.0,10000,4.022968292236328
2100,single,10,fitness_sharing,7,416.0,10000,3.955244302749634
2100,single,10,fitness_sharing,8,421.0,10000,4.577232360839844
2100,single,10,fitness_sharing,9,417.0,10000,3.9029014110565186
2100,single,10,fitness_sharing,10,423.0,10000,4.3548901081085205
2100,single,10,fitness_sharing,11,426.0,10000,4.142654657363892
2100,single,10,fitness_sharing,12,416.0,10000,3.762929916381836
2100,single,10,fitness_sharing,13,399.0,10000,3.97969388961792
2100,single,10,fitness_sharing,14,422.0,10000,4.255874156951904
2100,single,10,fitness_sharing,15,420.0,10000,4.079106330871582
2100,single,10,fitness_sharing,16,418.0,10000,4.178842306137085
2100,single,10,fitness_sharing,17,424.0,10000,4.390888690948486
2100,single,10,fitness_sharing,18,420.0,10000,3.9847702980041504
2100,single,10,fitness_sharing,19,421.0,10000,4.545606374740601
2100,single,10,fitness_sharing,20,412.0,10000,3.848670244216919
2100,single,10,fitness_sharing,21,420.0,10000,4.138636112213135
2100,single,10,fitness_sharing,22,417.0,10000,4.558816194534302
2100,single,10,fitness_sharing,23,417.0,10000,4.117097616195679
2100,single,10,fitness_sharing,24,418.0,10000,4.55486273765564
2100,single,10,fitness_sharing,25,419.0,10000,3.8467578887939453
