instance,alg,pop,diversity,run,best,n_evals,time
2202,single,10,random_replacement,0,-334.0,13141,1.2640924453735352
2202,single,10,random_replacement,1,-321.0,24329,4.2085065841674805
2202,single,10,random_replacement,2,-327.0,26955,2.0762128829956055
2202,single,10,random_replacement,3,-320.0,50323,3.4304263591766357
2202,single,10,random_replacement,4,-315.0,21962,1.4916651248931885
2202,single,10,random_replacement,5,-335.0,44972,3.0658795833587646
2202,single,10,random_replacement,6,-337.0,74192,5.061141490936279
2202,single,10,random_replacement,7,-336.0,22270,1.508986234664917
2202,single,10,random_replacement,8,-339.0,72799,4.941823959350586
2202,single,10,random_replacement,9,-309.0,55200,3.7534055709838867
2202,single,10,random_replacement,10,-340.0,18531,1.2647695541381836
2202,single,10,random_replacement,11,-318.0,44271,3.008411407470703
2202,single,10,random_replacement,12,-347.0,33755,2.3075060844421387
2202,single,10,random_replacement,13,-334.0,59193,4.044515609741211
2202,single,10,random_replacement,14,-339.0,51047,3.482117176055908
2202,single,10,random_replacement,15,-336.0,29134,1.9754273891448975
2202,single,10,random_replacement,16,-321.0,14354,0.9734244346618652
2202,single,10,random_replacement,17,-326.0,51677,3.5158846378326416
2202,single,10,random_replacement,18,-334.0,27665,1.9847962856292725
2202,single,10,random_replacement,19,-340.0,18939,1.365319013595581
2202,single,10,random_replacement,20,-337.0,41744,2.987055778503418
2202,single,10,random_replacement,21,-337.0,24694,1.7491955757141113
2202,single,10,random_replacement,22,-342.0,27195,1.9385595321655273
2202,single,10,random_replacement,23,-331.0,10653,0.7346115112304688
2202,single,10,random_replacement,24,-307.0,25324,1.7385156154632568
2202,single,10,random_replacement,25,-335.0,36112,2.483044147491455
2202,single,10,random_replacement,26,-326.0,34359,2.35740327835083
2202,single,10,random_replacement,27,-319.0,38293,2.646040201187134
2202,single,10,random_replacement,28,-326.0,14798,1.015214204788208
2202,single,10,random_replacement,29,-322.0,47746,3.2553632259368896
2202,single,10,fitness_sharing,0,-340.0,48490,3.3284599781036377
2202,single,10,fitness_sharing,1,-326.0,29237,1.995464563369751
2202,single,10,fitness_sharing,2,-343.0,82795,5.653223991394043
2202,single,10,fitness_sharing,3,-315.0,41637,2.8380930423736572
2202,single,10,fitness_sharing,4,-320.0,38277,2.639383316040039
2202,single,10,fitness_sharing,5,-318.0,32958,2.301039457321167
2202,single,10,fitness_sharing,6,-343.0,67553,4.6135149002075195
2202,single,10,fitness_sharing,7,-311.0,26185,1.7822561264038086
2202,single,10,fitness_sharing,8,-320.0,29927,2.083545684814453
2202,single,10,fitness_sharing,9,-323.0,61135,4.277414798736572
2202,single,10,fitness_sharing,10,-341.0,37109,2.556370973587036
2202,single,10,fitness_sharing,11,-338.0,90845,6.30035400390625
2202,single,10,fitness_sharing,12,-319.0,50418,3.4682021141052246
2202,single,10,fitness_sharing,13,-339.0,36632,2.5603702068328857
2202,single,10,fitness_sharing,14,-331.0,38876,2.664855718612671
2202,single,10,fitness_sharing,15,-335.0,30022,2.063926935195923
2202,single,10,fitness_sharing,16,-344.0,16782,1.1618850231170654
2202,single,10,fitness_sharing,17,-306.0,33578,2.2986676692962646
2202,single,10,fitness_sharing,18,-295.0,36176,2.4744441509246826
