instance,alg,pop,selection,run,best,n_evals,time
2102,multi,10,uniform,0,24.0,10000,0.1506180763244629
2102,multi,10,uniform,1,23.0,10000,0.1555485725402832
2102,multi,10,uniform,2,36.0,10000,0.14958739280700684
2102,multi,10,uniform,3,34.0,10000,0.14018869400024414
2102,multi,10,uniform,4,33.0,10000,0.15036940574645996
2102,multi,10,uniform,5,21.0,10000,0.1538553237915039
2102,multi,10,uniform,6,27.0,10000,0.15156769752502441
2102,multi,10,uniform,7,11.0,10000,0.15065670013427734
2102,multi,10,uniform,8,21.0,10000,0.14345932006835938
2102,multi,10,uniform,9,20.0,10000,0.149979829788208
2102,multi,10,uniform,10,37.0,10000,0.15475869178771973
2102,multi,10,uniform,11,24.0,10000,0.1499025821685791
2102,multi,10,uniform,12,32.0,10000,0.1498875617980957
2102,multi,10,uniform,13,25.0,10000,0.1515367031097412
2102,multi,10,uniform,14,21.0,10000,0.14438223838806152
2102,multi,10,uniform,15,2.0,10000,0.15052580833435059
2102,multi,10,uniform,16,29.0,10000,0.14491510391235352
2102,multi,10,uniform,17,31.0,10000,0.15021228790283203
2102,multi,10,uniform,18,14.0,10000,0.14889216423034668
2102,multi,10,uniform,19,14.0,10000,0.14749670028686523
2102,multi,10,uniform,20,9.0,10000,0.15239620208740234
2102,multi,10,uniform,21,15.0,10000,0.14570331573486328
2102,multi,10,uniform,22,22.0,10000,0.1504509449005127
2102,multi,10,uniform,23,30.0,10000,0.15183329582214355
2102,multi,10,uniform,24,0.0,10000,0.15468788146972656
2102,multi,10,uniform,25,19.0,10000,0.15476560592651367
2102,multi,10,uniform,26,7.0,10000,0.15194964408874512
2102,multi,10,uniform,27,33.0,10000,0.14248347282409668
2102,multi,10,uniform,28,15.0,10000,0.15292859077453613
2102,multi,10,uniform,29,24.0,10000,0.15140175819396973
2102,multi,10,uniform,0,27.0,10000,0.1426832675933838
2102,multi,10,uniform,1,19.0,10000,0.15152645111083984
2102,multi,10,uniform,2,0.0,10000,0.14725923538208008
2102,multi,10,uniform,3,0.0,10000,0.15033984184265137
2102,multi,10,uniform,4,38.0,10000,0.15427279472351074
2102,multi,10,uniform,5,31.0,10000,0.14987492561340332
2102,multi,10,uniform,6,21.0,10000,0.14696669578552246
2102,multi,10,uniform,7,2.0,10000,0.14789247512817383
2102,multi,10,uniform,8,0.0,10000,0.14874029159545898
2102,multi,10,uniform,9,12.0,10000,0.1401350498199463
2102,multi,10,uniform,10,34.0,10000,0.15268921852111816
2102,multi,10,uniform,11,11.0,10000,0.14783501625061035
2102,multi,10,uniform,12,17.0,10000,0.15615034103393555
2102,multi,10,uniform,13,14.0,10000,0.15439915657043457
2102,multi,10,uniform,14,18.0,10000,0.14961504936218262
2102,multi,10,uniform,15,27.0,10000,0.14909791946411133
2102,multi,10,uniform,16,21.0,10000,0.14967823028564453
2102,multi,10,uniform,17,33.0,10000,0.15073919296264648
2102,multi,10,uniform,18,23.0,10000,0.15691113471984863
2102,multi,10,uniform,19,16.0,10000,0.15212273597717285
2102,multi,10,uniform,20,8.0,10000,0.15227627754211426
2102,multi,10,uniform,21,17.0,10000,0.14754033088684082
2102,multi,10,uniform,22,40.0,10000,0.15566039085388184
2102,multi,10,uniform,23,0.0,10000,0.1514596939086914
2102,multi,10,uniform,24,19.0,10000,0.14651823043823242
2102,multi,10,uniform,25,11.0,10000,0.15146160125732422
2102,multi,10,uniform,26,15.0,10000,0.24523425102233887
2102,multi,10,uniform,27,0.0,10000,0.1548299789428711
2102,multi,10,uniform,28,22.0,10000,0.15082216262817383
2102,multi,10,uniform,29,31.0,10000,0.15831804275512695
2102,multi,10,uniform,0,16.0,10000,0.1476762294769287
2102,multi,10,uniform,1,14.0,10000,0.15318918228149414
2102,multi,10,uniform,2,23.0,10000,0.15489959716796875
2102,multi,10,uniform,3,36.0,10000,0.15336394309997559
2102,multi,10,uniform,4,20.0,10000,0.14711618423461914
2102,multi,10,uniform,5,9.0,10000,0.14902544021606445
2102,multi,10,uniform,6,20.0,10000,0.14779210090637207
2102,multi,10,uniform,7,33.0,10000,0.1439528465270996
2102,multi,10,uniform,8,17.0,10000,0.15526580810546875
2102,multi,10,uniform,9,12.0,10000,0.15270328521728516
2102,multi,10,uniform,10,19.0,10000,0.15354132652282715
2102,multi,10,uniform,11,18.0,10000,0.1532595157623291
2102,multi,10,uniform,12,21.0,10000,0.1508939266204834
2102,multi,10,uniform,13,18.0,10000,0.14940953254699707
2102,multi,10,uniform,14,26.0,10000,0.15189790725708008
2102,multi,10,uniform,15,20.0,10000,0.1516587734222412
2102,multi,10,uniform,16,23.0,10000,0.15163254737854004
2102,multi,10,uniform,17,6.0,10000,0.1497807502746582
2102,multi,10,uniform,18,7.0,10000,0.14879274368286133
2102,multi,10,uniform,19,19.0,10000,0.1534862518310547
2102,multi,10,uniform,20,21.0,10000,0.15490245819091797
2102,multi,10,uniform,21,8.0,10000,0.1564633846282959
2102,multi,10,uniform,22,13.0,10000,0.15132880210876465
2102,multi,10,uniform,23,31.0,10000,0.15570735931396484
2102,multi,10,uniform,24,30.0,10000,0.15380287170410156
2102,multi,10,uniform,25,14.0,10000,0.15123891830444336
2102,multi,10,uniform,26,16.0,10000,0.15305638313293457
2102,multi,10,uniform,27,0.0,10000,0.15418386459350586
2102,multi,10,uniform,28,28.0,10000,0.15187549591064453
2102,multi,10,uniform,29,22.0,10000,0.14623451232910156
2102,multi,20,uniform,0,0.0,10000,0.1622147560119629
2102,multi,20,uniform,1,0.0,10000,0.18340682983398438
2102,multi,20,uniform,2,9.0,10000,0.15729022026062012
2102,multi,20,uniform,3,12.0,10000,0.18728876113891602
2102,multi,20,uniform,4,0.0,10000,0.1506359577178955
2102,multi,20,uniform,5,32.0,10000,0.16158652305603027
2102,multi,20,uniform,6,25.0,10000,0.1642589569091797
2102,multi,20,uniform,7,8.0,10000,0.16864728927612305
2102,multi,20,uniform,8,28.0,10000,0.17865800857543945
2102,multi,20,uniform,9,34.0,10000,0.17007184028625488
2102,multi,20,uniform,10,19.0,10000,0.18466877937316895
2102,multi,20,uniform,11,12.0,10000,0.17801833152770996
2102,multi,20,uniform,12,22.0,10000,0.19421100616455078
2102,multi,20,uniform,13,28.0,10000,0.16804194450378418
2102,multi,20,uniform,14,5.0,10000,0.17490005493164062
2102,multi,20,uniform,15,32.0,10000,0.1736159324645996
2102,multi,20,uniform,16,20.0,10000,0.15590906143188477
2102,multi,20,uniform,17,7.0,10000,0.15297627449035645
2102,multi,20,uniform,18,17.0,10000,0.18253469467163086
2102,multi,20,uniform,19,0.0,10000,0.18628525733947754
2102,multi,20,uniform,20,5.0,10000,0.17397856712341309
2102,multi,20,uniform,21,33.0,10000,0.18543267250061035
2102,multi,20,uniform,22,29.0,10000,0.168853759765625
2102,multi,20,uniform,23,2.0,10000,0.14452457427978516
2102,multi,20,uniform,24,34.0,10000,0.17476582527160645
2102,multi,20,uniform,25,15.0,10000,0.20127224922180176
2102,multi,20,uniform,26,23.0,10000,0.1926724910736084
2102,multi,20,uniform,27,28.0,10000,0.17078495025634766
2102,multi,20,uniform,28,15.0,10000,0.16149640083312988
2102,multi,20,uniform,29,25.0,10000,0.17015528678894043
2102,multi,20,uniform,0,27.0,10000,0.16915035247802734
2102,multi,20,uniform,1,26.0,10000,0.14992237091064453
2102,multi,20,uniform,2,0.0,10000,0.17406320571899414
2102,multi,20,uniform,3,27.0,10000,0.14215350151062012
2102,multi,20,uniform,4,0.0,10000,0.17024612426757812
2102,multi,20,uniform,5,3.0,10000,0.19005727767944336
2102,multi,20,uniform,6,3.0,10000,0.16660785675048828
2102,multi,20,uniform,7,21.0,10000,0.19570374488830566
2102,multi,20,uniform,8,0.0,10000,0.17988204956054688
2102,multi,20,uniform,9,27.0,10000,0.1589663028717041
2102,multi,20,uniform,10,2.0,10000,0.17403483390808105
2102,multi,20,uniform,11,0.0,10000,0.17253899574279785
2102,multi,20,uniform,12,23.0,10000,0.1655256748199463
2102,multi,20,uniform,13,25.0,10000,0.15571880340576172
2102,multi,20,uniform,14,18.0,10000,0.1799767017364502
2102,multi,20,uniform,15,20.0,10000,0.1503915786743164
2102,multi,20,uniform,16,21.0,10000,0.1815321445465088
2102,multi,20,uniform,17,12.0,10000,0.16415095329284668
2102,multi,20,uniform,18,8.0,10000,0.1635279655456543
2102,multi,20,uniform,19,43.0,10000,0.15918970108032227
2102,multi,20,uniform,20,23.0,10000,0.1478564739227295
2102,multi,20,uniform,21,0.0,10000,0.16601967811584473
2102,multi,20,uniform,22,26.0,10000,0.1635909080505371
2102,multi,20,uniform,23,0.0,10000,0.16801023483276367
2102,multi,20,uniform,24,11.0,10000,0.2545623779296875
2102,multi,20,uniform,25,17.0,10000,0.15532732009887695
2102,multi,20,uniform,26,29.0,10000,0.1714324951171875
2102,multi,20,uniform,27,20.0,10000,0.1542491912841797
2102,multi,20,uniform,28,34.0,10000,0.16952061653137207
2102,multi,20,uniform,29,7.0,10000,0.155228853225708
2102,multi,20,uniform,0,32.0,10000,0.17058849334716797
2102,multi,20,uniform,1,16.0,10000,0.17518162727355957
2102,multi,20,uniform,2,32.0,10000,0.17611074447631836
2102,multi,20,uniform,3,9.0,10000,0.16638731956481934
2102,multi,20,uniform,4,14.0,10000,0.15155792236328125
2102,multi,20,uniform,5,0.0,10000,0.15885305404663086
2102,multi,20,uniform,6,13.0,10000,0.1640186309814453
2102,multi,20,uniform,7,12.0,10000,0.14727187156677246
2102,multi,20,uniform,8,24.0,10000,0.17583274841308594
2102,multi,20,uniform,9,29.0,10000,0.15156865119934082
2102,multi,20,uniform,10,20.0,10000,0.15804195404052734
2102,multi,20,uniform,11,15.0,10000,0.17504405975341797
2102,multi,20,uniform,12,6.0,10000,0.18597984313964844
2102,multi,20,uniform,13,13.0,10000,0.18298745155334473
2102,multi,20,uniform,14,27.0,10000,0.1520240306854248
2102,multi,20,uniform,15,26.0,10000,0.14688754081726074
2102,multi,20,uniform,16,36.0,10000,0.17187809944152832
2102,multi,20,uniform,17,18.0,10000,0.15934085845947266
2102,multi,20,uniform,18,29.0,10000,0.16762757301330566
2102,multi,20,uniform,19,13.0,10000,0.14998507499694824
2102,multi,20,uniform,20,38.0,10000,0.17726731300354004
2102,multi,20,uniform,21,22.0,10000,0.16106653213500977
2102,multi,20,uniform,22,20.0,10000,0.15514302253723145
2102,multi,20,uniform,23,0.0,10000,0.16658592224121094
2102,multi,20,uniform,24,0.0,10000,0.17984366416931152
2102,multi,20,uniform,25,13.0,10000,0.16590666770935059
2102,multi,20,uniform,26,29.0,10000,0.1677079200744629
2102,multi,20,uniform,27,14.0,10000,0.1449413299560547
2102,multi,20,uniform,28,29.0,10000,0.18110108375549316
2102,multi,20,uniform,29,12.0,10000,0.14924860000610352
2102,multi,50,uniform,0,0.0,10000,0.15426230430603027
2102,multi,50,uniform,1,18.0,10000,0.18636584281921387
2102,multi,50,uniform,2,27.0,10000,0.1569509506225586
2102,multi,50,uniform,3,0.0,10000,0.1455388069152832
2102,multi,50,uniform,4,29.0,10000,0.1605210304260254
2102,multi,50,uniform,5,16.0,10000,0.16308331489562988
2102,multi,50,uniform,6,27.0,10000,0.18726110458374023
2102,multi,50,uniform,7,22.0,10000,0.18500185012817383
2102,multi,50,uniform,8,29.0,10000,0.16103005409240723
