instance,alg,pop,diversity,run,best,n_evals,time
2102,single,10,random_replacement,0,46.0,10000,0.03240203857421875
2102,single,10,random_replacement,1,46.0,10006,0.031162023544311523
2102,single,10,random_replacement,2,46.0,10007,0.03062582015991211
2102,single,10,random_replacement,3,46.0,10017,0.03099203109741211
2102,single,10,random_replacement,4,46.0,10011,0.031641483306884766
2102,single,10,random_replacement,5,45.0,10003,0.03146171569824219
2102,single,10,random_replacement,6,46.0,10000,0.030741453170776367
2102,single,10,random_replacement,7,46.0,10002,0.03156137466430664
2102,single,10,random_replacement,8,46.0,10002,0.031500816345214844
2102,single,10,random_replacement,9,46.0,10000,0.03074359893798828
2102,single,10,random_replacement,10,45.0,10000,0.030996322631835938
2102,single,10,random_replacement,11,46.0,10000,0.031076669692993164
2102,single,10,random_replacement,12,46.0,10030,0.030733346939086914
2102,single,10,random_replacement,13,46.0,10005,0.031699180603027344
2102,single,10,random_replacement,14,46.0,10007,0.030591249465942383
2102,single,10,random_replacement,15,46.0,10013,0.03174781799316406
2102,single,10,random_replacement,16,46.0,10013,0.03159594535827637
2102,single,10,random_replacement,17,46.0,10009,0.031079530715942383
2102,single,10,random_replacement,18,46.0,10004,0.030487060546875
2102,single,10,random_replacement,19,46.0,10005,0.030710220336914062
2102,single,10,random_replacement,20,46.0,10015,0.03163933753967285
2102,single,10,random_replacement,21,46.0,10011,0.030679702758789062
2102,single,10,random_replacement,22,45.0,10010,0.03233003616333008
2102,single,10,random_replacement,23,46.0,10000,0.03072667121887207
2102,single,10,random_replacement,24,46.0,10006,0.03104114532470703
2102,single,10,random_replacement,25,46.0,10005,0.03110980987548828
2102,single,10,random_replacement,26,46.0,10000,0.03138303756713867
2102,single,10,random_replacement,27,46.0,10011,0.031111717224121094
2102,single,10,random_replacement,28,46.0,10011,0.030861377716064453
2102,single,10,random_replacement,29,46.0,10001,0.03128838539123535
2102,single,10,fitness_sharing,0,46.0,10005,0.05912280082702637
2102,single,10,fitness_sharing,1,45.0,10000,0.05787086486816406
2102,single,10,fitness_sharing,2,46.0,10011,0.0568537712097168
2102,single,10,fitness_sharing,3,46.0,10005,0.05957937240600586
2102,single,10,fitness_sharing,4,46.0,10002,0.05941319465637207
2102,single,10,fitness_sharing,5,46.0,10000,0.05820584297180176
2102,single,10,fitness_sharing,6,46.0,10002,0.05894947052001953
2102,single,10,fitness_sharing,7,46.0,10005,0.058699607849121094
2102,single,10,fitness_sharing,8,46.0,10003,0.05763959884643555
2102,single,10,fitness_sharing,9,46.0,10005,0.05745744705200195
2102,single,10,fitness_sharing,10,46.0,10003,0.05830264091491699
2102,single,10,fitness_sharing,11,46.0,10006,0.0585477352142334
2102,single,10,fitness_sharing,12,46.0,10011,0.057265520095825195
2102,single,10,fitness_sharing,13,46.0,10009,0.059034109115600586
2102,single,10,fitness_sharing,14,46.0,10004,0.056775569915771484
2102,single,10,fitness_sharing,15,46.0,10002,0.060614585876464844
2102,single,10,fitness_sharing,16,46.0,10008,0.07407212257385254
2102,single,10,fitness_sharing,17,46.0,10013,0.05944705009460449
2102,single,10,fitness_sharing,18,46.0,10005,0.05629229545593262
2102,single,10,fitness_sharing,19,46.0,10016,0.058377981185913086
2102,single,10,fitness_sharing,20,46.0,10009,0.0584409236907959
2102,single,10,fitness_sharing,21,46.0,10013,0.06064271926879883
2102,single,10,fitness_sharing,22,46.0,10003,0.05883288383483887
2102,single,10,fitness_sharing,23,46.0,10004,0.05970335006713867
2102,single,10,fitness_sharing,24,46.0,10018,0.058330535888671875
