instance,alg,pop,selection,run,best,n_evals,time
2103,multi,10,uniform,0,,10000,0.7628910541534424
2103,multi,10,uniform,1,,10000,0.7555139064788818
2103,multi,10,uniform,2,,10000,0.7602205276489258
2103,multi,10,uniform,3,,10000,0.7425646781921387
2103,multi,10,uniform,4,,10000,0.7605271339416504
2103,multi,10,uniform,5,,10000,0.7573418617248535
2103,multi,10,uniform,6,-65.0,10000,0.7639954090118408
2103,multi,10,uniform,7,,10000,0.7508952617645264
2103,multi,10,uniform,8,,10000,0.753826379776001
2103,multi,10,uniform,9,,10000,0.7510719299316406
2103,multi,10,uniform,10,,10000,0.7631523609161377
2103,multi,10,uniform,11,,10000,0.7481462955474854
2103,multi,10,uniform,12,,10000,0.7552080154418945
2103,multi,10,uniform,13,,10000,0.7527241706848145
2103,multi,10,uniform,14,,10000,0.7508165836334229
2103,multi,10,uniform,15,,10000,0.7430732250213623
2103,multi,10,uniform,16,,10000,0.7469241619110107
2103,multi,10,uniform,17,,10000,0.7520182132720947
2103,multi,10,uniform,18,,10000,0.7515053749084473
2103,multi,10,uniform,19,,10000,0.7489988803863525
2103,multi,10,uniform,20,,10000,0.7640316486358643
2103,multi,10,uniform,21,,10000,0.7485013008117676
2103,multi,10,uniform,22,,10000,0.7478806972503662
2103,multi,10,uniform,23,-59.0,10000,0.748741626739502
2103,multi,10,uniform,24,,10000,0.7458071708679199
2103,multi,10,uniform,25,-60.0,10000,0.7484734058380127
2103,multi,10,uniform,26,,10000,0.7443630695343018
2103,multi,10,uniform,27,-63.0,10000,0.7480597496032715
2103,multi,10,uniform,28,,10000,0.746739387512207
2103,multi,10,uniform,29,,10000,0.7462589740753174
2103,multi,10,uniform,0,,10000,0.7455446720123291
2103,multi,10,uniform,1,,10000,0.7412276268005371
2103,multi,10,uniform,2,,10000,0.7420663833618164
2103,multi,10,uniform,3,,10000,0.7447545528411865
2103,multi,10,uniform,4,-55.0,10000,0.7569527626037598
2103,multi,10,uniform,5,,10000,0.7585842609405518
2103,multi,10,uniform,6,,10000,0.746147632598877
2103,multi,10,uniform,7,,10000,0.7501261234283447
2103,multi,10,uniform,8,,10000,0.7518630027770996
2103,multi,10,uniform,9,-61.0,10000,0.7453629970550537
2103,multi,10,uniform,10,,10000,0.7496333122253418
2103,multi,10,uniform,11,,10000,0.7422585487365723
2103,multi,10,uniform,12,,10000,0.7498445510864258
2103,multi,10,uniform,13,,10000,0.7482609748840332
2103,multi,10,uniform,14,,10000,0.7462005615234375
2103,multi,10,uniform,15,,10000,0.751563549041748
2103,multi,10,uniform,16,,10000,0.7448770999908447
2103,multi,10,uniform,17,,10000,0.7389745712280273
2103,multi,10,uniform,18,-58.0,10000,0.7499706745147705
2103,multi,10,uniform,19,,10000,0.7529513835906982
2103,multi,10,uniform,20,,10000,0.7501468658447266
2103,multi,10,uniform,21,,10000,0.7496531009674072
2103,multi,10,uniform,22,,10000,0.7436957359313965
2103,multi,10,uniform,23,,10000,0.7498488426208496
2103,multi,10,uniform,24,-65.0,10000,0.7427523136138916
2103,multi,10,uniform,25,,10000,0.7451460361480713
2103,multi,10,uniform,26,,10000,0.7472128868103027
2103,multi,10,uniform,27,,10000,0.7382898330688477
2103,multi,10,uniform,28,,10000,0.7511327266693115
2103,multi,10,uniform,29,,10000,0.7492709159851074
2103,multi,10,uniform,0,,10000,0.7567956447601318
2103,multi,10,uniform,1,,10000,0.7503883838653564
2103,multi,10,uniform,2,,10000,0.7468581199645996
2103,multi,10,uniform,3,-53.0,10000,0.7496566772460938
2103,multi,10,uniform,4,,10000,0.7482190132141113
2103,multi,10,uniform,5,-60.0,10000,0.7529246807098389
2103,multi,10,uniform,6,,10000,0.7495486736297607
2103,multi,10,uniform,7,-63.0,10000,0.7513513565063477
2103,multi,10,uniform,8,,10000,0.7517917156219482
2103,multi,10,uniform,9,-53.0,10000,0.7488346099853516
2103,multi,10,uniform,10,,10000,0.756439208984375
2103,multi,10,uniform,11,,10000,0.7497708797454834
2103,multi,10,uniform,12,,10000,0.7477493286132812
2103,multi,10,uniform,13,,10000,0.7494149208068848
2103,multi,10,uniform,14,,10000,0.744657039642334
2103,multi,10,uniform,15,,10000,0.7495245933532715
2103,multi,10,uniform,16,,10000,0.7474830150604248
2103,multi,10,uniform,17,,10000,0.7481489181518555
2103,multi,10,uniform,18,,10000,0.7433023452758789
2103,multi,10,uniform,19,,10000,0.7522704601287842
2103,multi,10,uniform,20,,10000,0.7565817832946777
2103,multi,10,uniform,21,,10000,0.7546989917755127
2103,multi,10,uniform,22,,10000,0.7525713443756104
2103,multi,10,uniform,23,-51.0,10000,0.7460222244262695
2103,multi,10,uniform,24,,10000,0.7499010562896729
2103,multi,10,uniform,25,-66.0,10000,0.7543935775756836
2103,multi,10,uniform,26,,10000,0.7509181499481201
2103,multi,10,uniform,27,,10000,0.7452802658081055
2103,multi,10,uniform,28,,10000,0.7453022003173828
2103,multi,10,uniform,29,,10000,0.753995418548584
2103,multi,20,uniform,0,-62.0,10000,0.7542855739593506
2103,multi,20,uniform,1,,10000,0.7479360103607178
2103,multi,20,uniform,2,,10000,0.7449643611907959
2103,multi,20,uniform,3,,10000,0.7479608058929443
2103,multi,20,uniform,4,,10000,0.7468726634979248
2103,multi,20,uniform,5,-60.0,10000,0.7416384220123291
2103,multi,20,uniform,6,,10000,0.7451066970825195
2103,multi,20,uniform,7,,10000,0.7434506416320801
2103,multi,20,uniform,8,,10000,0.7461221218109131
2103,multi,20,uniform,9,,10000,0.7416014671325684
2103,multi,20,uniform,10,,10000,0.7485136985778809
2103,multi,20,uniform,11,,10000,0.7526533603668213
2103,multi,20,uniform,12,,10000,0.7459733486175537
2103,multi,20,uniform,13,,10000,0.7478830814361572
2103,multi,20,uniform,14,-52.0,10000,0.7502505779266357
2103,multi,20,uniform,15,,10000,0.7535848617553711
2103,multi,20,uniform,16,,10000,0.7564976215362549
2103,multi,20,uniform,17,,10000,0.7482991218566895
2103,multi,20,uniform,18,,10000,0.7703964710235596
2103,multi,20,uniform,19,-61.0,10000,0.754173994064331
2103,multi,20,uniform,20,,10000,0.7590570449829102
2103,multi,20,uniform,21,,10000,0.750861406326294
2103,multi,20,uniform,22,,10000,0.7528562545776367
2103,multi,20,uniform,23,,10000,0.7486965656280518
2103,multi,20,uniform,24,,10000,0.7478814125061035
2103,multi,20,uniform,25,-54.0,10000,0.7503385543823242
2103,multi,20,uniform,26,,10000,0.7519762516021729
2103,multi,20,uniform,27,-55.0,10000,0.7480108737945557
2103,multi,20,uniform,28,,10000,0.7506110668182373
2103,multi,20,uniform,29,,10000,0.755274772644043
2103,multi,20,uniform,0,-62.0,10000,0.7510263919830322
2103,multi,20,uniform,1,,10000,0.7491776943206787
2103,multi,20,uniform,2,-56.0,10000,0.7403774261474609
2103,multi,20,uniform,3,-61.0,10000,0.7478203773498535
2103,multi,20,uniform,4,,10000,0.7492449283599854
2103,multi,20,uniform,5,,10000,0.7508571147918701
2103,multi,20,uniform,6,,10000,0.7490200996398926
2103,multi,20,uniform,7,,10000,0.7530672550201416
2103,multi,20,uniform,8,,10000,0.7453179359436035
2103,multi,20,uniform,9,-66.0,10000,0.7486016750335693
2103,multi,20,uniform,10,,10000,0.7474241256713867
2103,multi,20,uniform,11,,10000,0.747769832611084
2103,multi,20,uniform,12,-53.0,10000,0.7477500438690186
2103,multi,20,uniform,13,-65.0,10000,0.7535006999969482
2103,multi,20,uniform,14,,10000,0.755847692489624
2103,multi,20,uniform,15,,10000,0.7499754428863525
2103,multi,20,uniform,16,,10000,0.7476513385772705
2103,multi,20,uniform,17,,10000,0.7535960674285889
2103,multi,20,uniform,18,,10000,0.759284496307373
2103,multi,20,uniform,19,,10000,0.7458705902099609
2103,multi,20,uniform,20,,10000,0.753251314163208
2103,multi,20,uniform,21,-54.0,10000,0.7489657402038574
2103,multi,20,uniform,22,,10000,0.7520358562469482
2103,multi,20,uniform,23,,10000,0.7457981109619141
2103,multi,20,uniform,24,,10000,0.7415366172790527
2103,multi,20,uniform,25,-65.0,10000,0.748687744140625
2103,multi,20,uniform,26,,10000,0.7530796527862549
2103,multi,20,uniform,27,,10000,0.7442502975463867
2103,multi,20,uniform,28,-53.0,10000,0.7478976249694824
2103,multi,20,uniform,29,,10000,0.7476406097412109
2103,multi,20,uniform,0,,10000,0.7483150959014893
2103,multi,20,uniform,1,,10000,0.7566819190979004
2103,multi,20,uniform,2,,10000,0.752126932144165
2103,multi,20,uniform,3,,10000,0.7480800151824951
2103,multi,20,uniform,4,,10000,0.7422518730163574
2103,multi,20,uniform,5,,10000,0.7460346221923828
2103,multi,20,uniform,6,,10000,0.7467217445373535
2103,multi,20,uniform,7,,10000,0.7440454959869385
2103,multi,20,uniform,8,,10000,0.7453629970550537
2103,multi,20,uniform,9,-58.0,10000,0.740546703338623
2103,multi,20,uniform,10,,10000,0.7579772472381592
2103,multi,20,uniform,11,-66.0,10000,0.7567577362060547
2103,multi,20,uniform,12,,10000,0.7460956573486328
2103,multi,20,uniform,13,-60.0,10000,0.7516124248504639
2103,multi,20,uniform,14,-63.0,10000,0.7684292793273926
2103,multi,20,uniform,15,-58.0,10000,0.7574462890625
2103,multi,20,uniform,16,-59.0,10000,0.7573459148406982
2103,multi,20,uniform,17,,10000,0.7462606430053711
2103,multi,20,uniform,18,,10000,0.7476449012756348
2103,multi,20,uniform,19,-66.0,10000,0.7412135601043701
2103,multi,20,uniform,20,-64.0,10000,0.7626218795776367
2103,multi,20,uniform,21,,10000,0.7540895938873291
2103,multi,20,uniform,22,,10000,0.7453913688659668
2103,multi,20,uniform,23,,10000,0.7510964870452881
2103,multi,20,uniform,24,,10000,0.7474133968353271
2103,multi,20,uniform,25,,10000,0.7431697845458984
2103,multi,20,uniform,26,,10000,0.7496795654296875
2103,multi,20,uniform,27,,10000,0.7444288730621338
2103,multi,20,uniform,28,,10000,0.7446603775024414
2103,multi,20,uniform,29,,10000,0.7516438961029053
2103,multi,50,uniform,0,-56.0,10000,0.7522459030151367
2103,multi,50,uniform,1,-61.0,10000,0.7587916851043701
2103,multi,50,uniform,2,,10000,0.7521190643310547
2103,multi,50,uniform,3,,10000,0.7513401508331299
2103,multi,50,uniform,4,,10000,0.7492003440856934
2103,multi,50,uniform,5,,10000,0.7518959045410156
2103,multi,50,uniform,6,,10000,0.7462165355682373
2103,multi,50,uniform,7,-66.0,10000,0.7485215663909912
2103,multi,50,uniform,8,,10000,0.7463803291320801
2103,multi,50,uniform,9,,10000,0.7502775192260742
2103,multi,50,uniform,10,-53.0,10000,0.7590174674987793
2103,multi,50,uniform,11,-65.0,10000,0.7614238262176514
2103,multi,50,uniform,12,,10000,0.7536046504974365
2103,multi,50,uniform,13,,10000,0.7509121894836426
2103,multi,50,uniform,14,,10000,0.7462646961212158
2103,multi,50,uniform,15,,10000,0.7503879070281982
2103,multi,50,uniform,16,,10000,0.7515428066253662
2103,multi,50,uniform,17,,10000,0.7454261779785156
2103,multi,50,uniform,18,,10000,0.7474477291107178
2103,multi,50,uniform,19,-54.0,10000,0.7450442314147949
2103,multi,50,uniform,20,,10000,0.751899242401123
2103,multi,50,uniform,21,,10000,0.7536160945892334
2103,multi,50,uniform,22,,10000,0.7418110370635986
2103,multi,50,uniform,23,-65.0,10000,0.7522084712982178
2103,multi,50,uniform,24,,10000,0.7500901222229004
2103,multi,50,uniform,25,,10000,0.7463505268096924
2103,multi,50,uniform,26,-53.0,10000,0.7711167335510254
2103,multi,50,uniform,27,,10000,0.744481086730957
2103,multi,50,uniform,28,-66.0,10000,0.7474546432495117
2103,multi,50,uniform,29,-66.0,10000,0.7562229633331299
2103,multi,50,uniform,0,,10000,0.7540652751922607
2103,multi,50,uniform,1,,10000,0.7563376426696777
2103,multi,50,uniform,2,-58.0,10000,0.7534525394439697
2103,multi,50,uniform,3,,10000,0.7450366020202637
2103,multi,50,uniform,4,,10000,0.7470371723175049
2103,multi,50,uniform,5,,10000,0.7483072280883789
2103,multi,50,uniform,6,-64.0,10000,0.7459356784820557
2103,multi,50,uniform,7,-65.0,10000,0.7388656139373779
2103,multi,50,uniform,8,-51.0,10000,0.7414252758026123
2103,multi,50,uniform,9,-63.0,10000,0.748659610748291
2103,multi,50,uniform,10,,10000,0.7525455951690674
2103,multi,50,uniform,11,,10000,0.7533578872680664
2103,multi,50,uniform,12,,10000,0.7549953460693359
2103,multi,50,uniform,13,-59.0,10000,0.7501161098480225
2103,multi,50,uniform,14,,10000,0.7512891292572021
2103,multi,50,uniform,15,,10000,0.7451679706573486
2103,multi,50,uniform,16,,10000,0.7469003200531006
2103,multi,50,uniform,17,-64.0,10000,0.7538480758666992
2103,multi,50,uniform,18,,10000,0.74381422996521
2103,multi,50,uniform,19,,10000,0.7494406700134277
2103,multi,50,uniform,20,-66.0,10000,0.7564141750335693
2103,multi,50,uniform,21,,10000,0.7520089149475098
2103,multi,50,uniform,22,,10000,0.745307445526123
2103,multi,50,uniform,23,-63.0,10000,0.7455625534057617
2103,multi,50,uniform,24,,10000,0.7596080303192139
2103,multi,50,uniform,25,-61.0,10000,0.761237621307373
2103,multi,50,uniform,26,,10000,0.7507643699645996
2103,multi,50,uniform,27,,10000,0.7483317852020264
2103,multi,50,uniform,28,-56.0,10000,0.7437474727630615
2103,multi,50,uniform,29,,10000,0.7474725246429443
2103,multi,50,uniform,0,,10000,0.7478127479553223
2103,multi,50,uniform,1,,10000,0.7577364444732666
2103,multi,50,uniform,2,-61.0,10000,0.7429699897766113
2103,multi,50,uniform,3,,10000,0.7483608722686768
2103,multi,50,uniform,4,-64.0,10000,0.7583434581756592
2103,multi,50,uniform,5,,10000,0.751699686050415
2103,multi,50,uniform,6,,10000,0.7469618320465088
2103,multi,50,uniform,7,-59.0,10000,0.744659423828125
2103,multi,50,uniform,8,,10000,0.744971513748169
2103,multi,50,uniform,9,-66.0,10000,0.7427539825439453
2103,multi,50,uniform,10,,10000,0.7546312808990479
2103,multi,50,uniform,11,,10000,0.7550835609436035
2103,multi,50,uniform,12,-58.0,10000,0.7501819133758545
2103,multi,50,uniform,13,,10000,0.7518875598907471
2103,multi,50,uniform,14,,10000,0.7425932884216309
2103,multi,50,uniform,15,,10000,0.752335786819458
2103,multi,50,uniform,16,,10000,0.7448856830596924
2103,multi,50,uniform,17,,10000,0.7482635974884033
2103,multi,50,uniform,18,,10000,0.7476251125335693
2103,multi,50,uniform,19,,10000,0.7470571994781494
2103,multi,50,uniform,20,,10000,0.7503275871276855
2103,multi,50,uniform,21,,10000,0.7571287155151367
2103,multi,50,uniform,22,,10000,0.7521488666534424
2103,multi,50,uniform,23,-61.0,10000,0.7478175163269043
2103,multi,50,uniform,24,-57.0,10000,0.742750883102417
2103,multi,50,uniform,25,,10000,0.7501802444458008
2103,multi,50,uniform,26,,10000,0.7462961673736572
2103,multi,50,uniform,27,-60.0,10000,0.7489237785339355
2103,multi,50,uniform,28,-66.0,10000,0.744112491607666
2103,multi,50,uniform,29,,10000,0.7491397857666016
