instance,alg,pop,diversity,run,best,n_evals,time
2103,single,10,random_replacement,0,-9.0,10000,0.372516393661499
2103,single,10,random_replacement,1,-3.0,10000,0.43225717544555664
2103,single,10,random_replacement,2,627.0,10000,0.5116565227508545
2103,single,10,random_replacement,3,-11.0,10000,0.401308536529541
2103,single,10,random_replacement,4,-4.0,10000,0.5292825698852539
2103,single,10,random_replacement,5,-6.0,10000,0.452439546585083
2103,single,10,random_replacement,6,-8.0,10000,0.38329124450683594
2103,single,10,random_replacement,7,-14.0,10000,0.36527347564697266
2103,single,10,random_replacement,8,590.0,10000,0.47010207176208496
2103,single,10,random_replacement,9,-15.0,10000,0.33449316024780273
2103,single,10,random_replacement,10,-8.0,10000,0.3897573947906494
2103,single,10,random_replacement,11,-17.0,10000,0.3207390308380127
2103,single,10,random_replacement,12,-3.0,10000,0.44757914543151855
2103,single,10,random_replacement,13,-4.0,10000,0.4384651184082031
2103,single,10,random_replacement,14,-3.0,10000,0.4331800937652588
2103,single,10,random_replacement,15,-14.0,10000,0.3483757972717285
2103,single,10,random_replacement,16,-2.0,10000,0.4512515068054199
2103,single,10,random_replacement,17,-54.0,10000,0.15393686294555664
2103,single,10,random_replacement,18,-3.0,10000,0.4494302272796631
2103,single,10,random_replacement,19,-14.0,10000,0.29488134384155273
2103,single,10,random_replacement,20,-5.0,10000,0.46891069412231445
2103,single,10,random_replacement,21,-4.0,10000,0.4837646484375
2103,single,10,random_replacement,22,-21.0,10000,0.314807653427124
2103,single,10,random_replacement,23,624.0,10000,0.4705061912536621
2103,single,10,random_replacement,24,641.0,10000,0.5195505619049072
2103,single,10,random_replacement,25,-16.0,10000,0.319244384765625
2103,single,10,random_replacement,26,-22.0,10000,0.3528764247894287
2103,single,10,random_replacement,27,-4.0,10000,0.43711233139038086
2103,single,10,random_replacement,28,629.0,10000,0.542158842086792
2103,single,10,random_replacement,29,597.0,10000,0.5200650691986084
2103,single,10,fitness_sharing,0,636.0,10000,2.2648468017578125
2103,single,10,fitness_sharing,1,588.0,10000,2.1288599967956543
2103,single,10,fitness_sharing,2,612.0,10000,1.7555115222930908
2103,single,10,fitness_sharing,3,627.0,10000,2.0910871028900146
2103,single,10,fitness_sharing,4,624.0,10000,2.482836961746216
2103,single,10,fitness_sharing,5,619.0,10000,1.5528018474578857
2103,single,10,fitness_sharing,6,-12.0,10000,1.2035937309265137
2103,single,10,fitness_sharing,7,638.0,10000,2.9401984214782715
2103,single,10,fitness_sharing,8,617.0,10000,2.088585138320923
2103,single,10,fitness_sharing,9,663.0,10000,2.555778741836548
2103,single,10,fitness_sharing,10,634.0,10000,2.811817169189453
2103,single,10,fitness_sharing,11,634.0,10000,2.3451929092407227
2103,single,10,fitness_sharing,12,626.0,10000,2.543503761291504
2103,single,10,fitness_sharing,13,648.0,10000,2.3330941200256348
2103,single,10,fitness_sharing,14,637.0,10000,3.0527262687683105
2103,single,10,fitness_sharing,15,643.0,10000,2.135187864303589
2103,single,10,fitness_sharing,16,650.0,10000,2.0327560901641846
2103,single,10,fitness_sharing,17,613.0,10000,2.2689404487609863
2103,single,10,fitness_sharing,18,631.0,10000,2.135687828063965
2103,single,10,fitness_sharing,19,639.0,10000,2.678088903427124
2103,single,10,fitness_sharing,20,625.0,10000,2.822666883468628
2103,single,10,fitness_sharing,21,611.0,10000,2.055652141571045
2103,single,10,fitness_sharing,22,578.0,10000,2.0550355911254883
2103,single,10,fitness_sharing,23,657.0,10000,2.801429271697998
2103,single,10,fitness_sharing,24,636.0,10000,2.706777572631836
2103,single,10,fitness_sharing,25,623.0,10000,1.9372515678405762
2103,single,10,fitness_sharing,26,615.0,10000,2.3056228160858154
2103,single,10,fitness_sharing,27,643.0,10000,2.288268804550171
2103,single,10,fitness_sharing,28,658.0,10000,2.5920536518096924
2103,single,10,fitness_sharing,29,631.0,10000,1.7038249969482422
2103,single,10,tournament,0,613.0,10000,0.45259547233581543
2103,single,10,tournament,1,624.0,10000,0.47671079635620117
2103,single,10,tournament,2,634.0,10000,0.42690229415893555
2103,single,10,tournament,3,613.0,10000,0.4601290225982666
2103,single,10,tournament,4,646.0,10000,0.5334603786468506
2103,single,10,tournament,5,-2.0,10000,0.32901978492736816
2103,single,10,tournament,6,618.0,10000,0.43120861053466797
2103,single,10,tournament,7,621.0,10000,0.4351844787597656
2103,single,10,tournament,8,615.0,10000,0.3995966911315918
2103,single,10,tournament,9,655.0,10000,0.49228596687316895
2103,single,10,tournament,10,-9.0,10000,0.33388614654541016
2103,single,10,tournament,11,646.0,10000,0.5044989585876465
2103,single,10,tournament,12,656.0,10000,0.5390036106109619
2103,single,10,tournament,13,647.0,10000,0.42309117317199707
2103,single,10,tournament,14,-6.0,10000,0.3556556701660156
2103,single,10,tournament,15,603.0,10000,0.39287805557250977
2103,single,10,tournament,16,620.0,10000,0.4260902404785156
2103,single,10,tournament,17,658.0,10000,0.48619842529296875
2103,single,10,tournament,18,610.0,10000,0.39988183975219727
2103,single,10,tournament,19,634.0,10000,0.48993849754333496
2103,single,10,tournament,20,641.0,10000,0.5515713691711426
2103,single,10,tournament,21,645.0,10000,0.41569995880126953
2103,single,10,tournament,22,632.0,10000,0.45868921279907227
2103,single,10,tournament,23,595.0,10000,0.4351027011871338
2103,single,10,tournament,24,615.0,10000,0.41186094284057617
2103,single,10,tournament,25,-24.0,10000,0.24394559860229492
2103,single,10,tournament,26,602.0,10000,0.424269437789917
2103,single,10,tournament,27,643.0,10000,0.493375301361084
2103,single,10,tournament,28,615.0,10000,0.36844611167907715
2103,single,10,tournament,29,601.0,10000,0.4151151180267334
2103,single,20,random_replacement,0,-31.0,10000,0.27118635177612305
2103,single,20,random_replacement,1,-37.0,10000,0.24414348602294922
2103,single,20,random_replacement,2,-25.0,10000,0.34061336517333984
2103,single,20,random_replacement,3,-26.0,10000,0.2809298038482666
2103,single,20,random_replacement,4,-36.0,10000,0.26360321044921875
2103,single,20,random_replacement,5,-34.0,10000,0.27949070930480957
2103,single,20,random_replacement,6,-30.0,10000,0.31307387351989746
2103,single,20,random_replacement,7,-27.0,10000,0.31964898109436035
2103,single,20,random_replacement,8,-40.0,10000,0.17243194580078125
2103,single,20,random_replacement,9,-25.0,10000,0.3298757076263428
2103,single,20,random_replacement,10,-26.0,10000,0.33818483352661133
2103,single,20,random_replacement,11,-37.0,10000,0.20152688026428223
2103,single,20,random_replacement,12,-16.0,10000,0.4024689197540283
2103,single,20,random_replacement,13,-21.0,10000,0.34479355812072754
2103,single,20,random_replacement,14,-26.0,10000,0.3273506164550781
2103,single,20,random_replacement,15,-34.0,10000,0.21971464157104492
2103,single,20,random_replacement,16,-22.0,10000,0.40038514137268066
2103,single,20,random_replacement,17,-20.0,10000,0.40409350395202637
2103,single,20,random_replacement,18,-37.0,10000,0.24296975135803223
2103,single,20,random_replacement,19,-51.0,10051,0.1452023983001709
2103,single,20,random_replacement,20,-15.0,10000,0.41998815536499023
2103,single,20,random_replacement,21,-36.0,10000,0.29965853691101074
2103,single,20,random_replacement,22,-32.0,10000,0.21130108833312988
2103,single,20,random_replacement,23,-42.0,10000,0.19056463241577148
2103,single,20,random_replacement,24,-44.0,10000,0.1742877960205078
2103,single,20,random_replacement,25,-34.0,10000,0.25836896896362305
2103,single,20,random_replacement,26,-27.0,10000,0.3240828514099121
2103,single,20,random_replacement,27,-21.0,10000,0.4020850658416748
2103,single,20,random_replacement,28,-42.0,10000,0.23182106018066406
2103,single,20,random_replacement,29,-44.0,10000,0.2137312889099121
2103,single,20,fitness_sharing,0,-9.0,10000,3.5094077587127686
2103,single,20,fitness_sharing,1,-12.0,10000,2.97589373588562
2103,single,20,fitness_sharing,2,-9.0,10000,4.0178542137146
2103,single,20,fitness_sharing,3,-7.0,10000,3.5741701126098633
2103,single,20,fitness_sharing,4,-23.0,10000,2.2304394245147705
2103,single,20,fitness_sharing,5,-13.0,10000,2.3483290672302246
2103,single,20,fitness_sharing,6,646.0,10000,3.744335412979126
2103,single,20,fitness_sharing,7,-25.0,10000,1.6570627689361572
2103,single,20,fitness_sharing,8,-17.0,10000,2.988034963607788
2103,single,20,fitness_sharing,9,-29.0,10000,1.453627109527588
2103,single,20,fitness_sharing,10,-29.0,10000,1.9106805324554443
2103,single,20,fitness_sharing,11,-37.0,10000,1.412036418914795
2103,single,20,fitness_sharing,12,-35.0,10000,1.030815601348877
2103,single,20,fitness_sharing,13,-15.0,10000,2.9953453540802
2103,single,20,fitness_sharing,14,-33.0,10000,1.5444657802581787
2103,single,20,fitness_sharing,15,-28.0,10000,1.5087857246398926
2103,single,20,fitness_sharing,16,-28.0,10000,1.8719582557678223
2103,single,20,fitness_sharing,17,-44.0,10000,0.7469158172607422
2103,single,20,fitness_sharing,18,-27.0,10000,2.2823855876922607
2103,single,20,fitness_sharing,19,-14.0,10000,2.5557668209075928
2103,single,20,fitness_sharing,20,-9.0,10000,3.2166287899017334
2103,single,20,fitness_sharing,21,-9.0,10000,3.6910598278045654
2103,single,20,fitness_sharing,22,-7.0,10000,3.771610975265503
2103,single,20,fitness_sharing,23,-8.0,10000,3.4909043312072754
2103,single,20,fitness_sharing,24,-18.0,10000,2.438967704772949
2103,single,20,fitness_sharing,25,-19.0,10000,2.2958593368530273
2103,single,20,fitness_sharing,26,-35.0,10000,0.8566439151763916
2103,single,20,fitness_sharing,27,-22.0,10000,2.826935052871704
2103,single,20,fitness_sharing,28,-20.0,10000,2.449491500854492
2103,single,20,fitness_sharing,29,-14.0,10000,3.112506866455078
2103,single,20,tournament,0,-16.0,10000,0.28645777702331543
2103,single,20,tournament,1,-18.0,10000,0.2833700180053711
2103,single,20,tournament,2,-10.0,10000,0.3558776378631592
2103,single,20,tournament,3,-11.0,10000,0.33435916900634766
2103,single,20,tournament,4,-7.0,10000,0.3581399917602539
2103,single,20,tournament,5,-23.0,10000,0.267061710357666
2103,single,20,tournament,6,623.0,10000,0.4709305763244629
2103,single,20,tournament,7,-35.0,10000,0.1945958137512207
2103,single,20,tournament,8,-1.0,10000,0.46639442443847656
2103,single,20,tournament,9,592.0,10000,0.4317436218261719
2103,single,20,tournament,10,-27.0,10000,0.24734926223754883
2103,single,20,tournament,11,-4.0,10000,0.3800163269042969
