evaluations raw_y
1 0.0000000000
3 4.4200000000
4 9.9100000000
5 34.4600000000
8 42.4300000000
17 46.7300000000
26 52.4800000000
27 57.4600000000
33 70.6300000000
37 74.3700000000
45 80.5500000000
63 88.9600000000
75 96.4300000000
80 99.4200000000
100 116.2500000000
134 117.0700000000
139 118.0600000000
241 121.5800000000
300 133.7400000000
325 141.0000000000
371 155.5500000000
421 174.4100000000
519 175.1100000000
521 197.3200000000
919 204.8400000000
926 205.4600000000
930 208.7400000000
947 210.1700000000
956 212.7300000000
962 218.3800000000
969 230.6800000000
984 232.5500000000
1009 236.7600000000
1010 238.4000000000
1020 241.2900000000
1074 246.3700000000
1184 246.6100000000
1201 358.2600000000
1222 376.6900000000
1226 389.7200000000
1231 397.2100000000
1256 401.7800000000
1257 419.3200000000
1270 420.3100000000
1340 421.1800000000
1522 424.9000000000
2288 448.7600000000
3037 504.0400000000
3040 505.6900000000
3043 515.0300000000
3048 524.1800000000
3069 541.1200000000
3151 541.2300000000
3221 544.2800000000
3429 549.9300000000
3463 558.5900000000
3620 559.1800000000
4042 561.9600000000
5003 573.1500000000
5461 574.0700000000
6030 575.2500000000
6167 576.8700000000
6903 579.7600000000
7604 585.4800000000
7624 591.9800000000
8591 593.4400000000
8976 598.3300000000
8978 600.3500000000
9797 609.8500000000
10694 615.3500000000
10734 629.1200000000
10773 633.7900000000
10834 640.4900000000
11009 644.2500000000
12074 644.8200000000
12200 645.1200000000
12533 647.9500000000
12558 654.1900000000
15510 730.6600000000
22076 737.4700000000
22497 744.8100000000
23343 746.8000000000
24836 747.1900000000
24994 752.5800000000
26826 759.0600000000
28789 770.2200000000
33345 772.2200000000
33359 772.3800000000
33360 779.1400000000
33413 795.2000000000
44594 799.6700000000
48053 801.7200000000
48056 807.5600000000
48080 808.6500000000
48268 818.2600000000
48315 820.5800000000
48388 834.5000000000
60925 836.1100000000
62686 836.7100000000
62691 842.0400000000
62716 849.2700000000
62827 854.8600000000
64349 867.3200000000
85092 870.2900000000
91266 871.7200000000
98381 875.7100000000
99609 876.3800000000
100000 12.0100000000
evaluations raw_y
1 0.0000000000
3 11.7900000000
5 50.6000000000
7 63.6200000000
10 64.0500000000
11 77.8700000000
14 85.9100000000
24 87.6100000000
37 106.7900000000
55 108.1100000000
